id,rnd,last_sel,sel,part,loss,acc,data,grad,cos,ep,pcdi,contrib
1.000000000000000000e+01,1.060000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.628254258073866367e-01,9.565217391304348116e-01,2.150000000000000000e+02,1.985326786896401297e+00,9.999025940919219479e-01,5.000000000000000000e+00,5.521560000000000582e+04,0.000000000000000000e+00
1.100000000000000000e+01,1.060000000000000000e+02,1.010000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,7.248110473155975342e-01,8.979591836734693855e-01,4.100000000000000000e+02,1.135991408112602352e+00,9.998527225142223029e-01,3.000000000000000000e+00,1.373409999999999854e+04,0.000000000000000000e+00
1.200000000000000000e+01,1.060000000000000000e+02,9.300000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.006907701492309570e-01,9.574468085106383475e-01,2.680000000000000000e+02,2.013235192596979140e+00,9.998287730172130683e-01,4.000000000000000000e+00,5.152090000000000146e+04,0.000000000000000000e+00
1.300000000000000000e+01,1.060000000000000000e+02,1.010000000000000000e+02,0.000000000000000000e+00,7.000000000000000000e+00,5.886732806684449315e-01,9.552238805970149071e-01,2.230000000000000000e+02,3.835014258333491188e+00,9.997481457299637331e-01,2.000000000000000000e+00,7.717289999999999418e+04,0.000000000000000000e+00
1.400000000000000000e+01,1.060000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+00,4.481536522507667542e-01,9.154929577464788748e-01,6.230000000000000000e+02,1.463649170338577665e+00,9.998279906197024003e-01,3.000000000000000000e+00,7.883400000000000000e+04,0.000000000000000000e+00
1.500000000000000000e+01,1.060000000000000000e+02,8.500000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.404021564871072769e-02,1.000000000000000000e+00,1.133000000000000000e+03,1.352909419756347445e-02,9.999368247934327103e-01,4.000000000000000000e+00,1.310769000000000233e+05,0.000000000000000000e+00
1.600000000000000000e+01,1.060000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.808457493782043457e-01,9.354838709677418818e-01,2.280000000000000000e+02,3.549738248179710620e+00,9.994954895713139553e-01,2.000000000000000000e+00,5.571400000000000000e+04,0.000000000000000000e+00
1.700000000000000000e+01,1.060000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.213823229074478149e-01,9.180327868852459217e-01,1.092000000000000000e+03,7.166306742223607987e-03,9.998637327508917982e-01,3.000000000000000000e+00,4.399839999999999418e+04,0.000000000000000000e+00
1.800000000000000000e+01,1.060000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,8.886764443013817072e-02,9.850746268656715987e-01,7.100000000000000000e+02,3.258282422744384621e-01,9.996182187176358980e-01,2.000000000000000000e+00,5.622000000000000000e+04,0.000000000000000000e+00
1.900000000000000000e+01,1.060000000000000000e+02,1.060000000000000000e+02,1.000000000000000000e+00,8.000000000000000000e+00,2.701891266042366624e-03,1.000000000000000000e+00,9.050000000000000000e+02,3.921110552888690814e-01,9.998703752754497520e-01,4.000000000000000000e+00,6.108800000000000000e+04,8.000000000000229150e-04
2.000000000000000000e+01,1.060000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,9.937738776206970215e-01,9.242424242424241987e-01,1.007000000000000000e+03,1.084828809225531487e-01,9.999352394828394663e-01,5.000000000000000000e+00,7.104959999999999127e+04,0.000000000000000000e+00
